Sample_ID,TP53 (ENSG00000141510),EGFR (ENSG00000146648),BRCA1 (ENSG00000012048),MYC (ENSG00000136997),GAPDH (ENSG00000111640),KRAS (ENSG00000133703),CDKN2A (ENSG00000147889),PTEN (ENSG00000171862),PIK3CA (ENSG00000121879),BRAF (ENSG00000157764)
ACH-001097,5.080657663,0.0,3.203201156,3.789729251,12.49125185,1.89917563,3.307428525,0.687060688,0.97819563,2.724650272
ACH-001636,4.518535139,0.0,4.464668267,6.864309976,11.88767757,3.469885976,5.289465631,5.544732656,2.63691458,3.23572706
ACH-001804,3.694880193,4.129283017,3.420886575,5.28281044,12.25668047,3.996388746,5.56193706,4.362469889,3.451540833,2.570462931
ACH-000534,6.03540397,0.650764559,4.893847558,6.970048354,11.57539743,3.22342255,6.739578112,3.17951105,3.761285273,4.69543711
ACH-000742,3.689299161,4.716990894,2.007195501,4.650190124,12.81995951,3.792855352,5.843230151,4.000901403,2.924099886,2.98550043
ACH-000836,5.450881315,6.331096084,5.049195106,5.857732233,12.06383322,3.681449265,5.682011391,4.658211483,3.655351829,3.195347598
ACH-002018,4.696550301,0.0,4.842476063,5.220329955,12.67888619,4.060047384,2.613531653,4.710393192,2.513490746,2.691534165
ACH-000545,5.364572432,7.377123749,4.120186028,6.21042783,11.04200131,4.156234798,7.807676916,3.564378169,3.886550147,3.032100843
ACH-001617,6.871104374,0.176322773,4.833396134,7.310431013,10.57714555,4.984133595,6.061344188,5.372603915,2.969012308,3.140778656
ACH-001850,6.823876711,5.883620816,3.416839742,6.970738639,13.07367298,4.744699314,5.678635348,4.328405659,3.007195501,2.627606838
ACH-000470,5.373300197,2.669026766,4.311793718,7.190713617,11.82041833,3.987320866,5.978653265,4.684257705,2.575312331,3.148934105
ACH-001959,2.422233001,4.63691458,4.878234879,6.600061566,11.0502568,3.890446693,5.940636607,4.169123281,2.897240426,3.389566812
ACH-000079,4.873813198,3.465974465,3.102658131,5.042644337,11.73165845,4.297191417,4.757023247,5.82374936,4.026800059,3.766595162
