Sample_ID,Tissue,Lineage,Disease
ACH-001097,Leukemia,Mesenchymal,Normal
ACH-001636,Prostate,Mesenchymal,Cancer
ACH-001804,Colon,Mesenchymal,Cancer
ACH-000534,Prostate,Hematopoietic,Normal
ACH-000742,Prostate,Hematopoietic,Cancer
ACH-000836,Breast,Epithelial,Cancer
ACH-002018,Colon,Epithelial,Normal
ACH-000545,Colon,Hematopoietic,Normal
ACH-001617,Colon,Mesenchymal,Cancer
ACH-001850,Prostate,Epithelial,Normal
ACH-000470,Leukemia,Hematopoietic,Cancer
ACH-001959,Colon,Hematopoietic,Normal
ACH-000079,Prostate,Hematopoietic,Cancer
ACH-000762,Breast,Mesenchymal,Normal
ACH-000495,Leukemia,Hematopoietic,Cancer
ACH-001862,Breast,Hematopoietic,Cancer
ACH-000834,Leukemia,Hematopoietic,Cancer
ACH-000981,Prostate,Hematopoietic,Normal
ACH-001642,Lung,Epithelial,Cancer
ACH-001020,Leukemia,Epithelial,Cancer
ACH-001799,Breast,Hematopoietic,Normal
ACH-001425,Prostate,Mesenchymal,Normal
ACH-001100,Leukemia,Epithelial,Cancer
ACH-000652,Lung,Hematopoietic,Cancer
ACH-001400,Lung,Epithelial,Normal
ACH-001119,Colon,Epithelial,Normal
ACH-001450,Colon,Mesenchymal,Normal
ACH-001520,Breast,Hematopoietic,Normal
ACH-001622,Leukemia,Hematopoietic,Normal
ACH-001849,Leukemia,Mesenchymal,Cancer
ACH-001033,Colon,Mesenchymal,Normal
ACH-000660,Leukemia,Hematopoietic,Cancer
ACH-000813,Leukemia,Hematopoietic,Cancer
ACH-001143,Lung,Mesenchymal,Cancer
ACH-001411,Colon,Epithelial,Normal
ACH-001196,Prostate,Epithelial,Cancer
ACH-001239,Colon,Mesenchymal,Cancer
ACH-000741,Prostate,Epithelial,Normal
ACH-001068,Lung,Mesenchymal,Cancer
ACH-000723,Breast,Epithelial,Cancer
ACH-001634,Leukemia,Epithelial,Normal
ACH-001028,Lung,Hematopoietic,Cancer
ACH-001853,Leukemia,Hematopoietic,Cancer
ACH-001791,Breast,Epithelial,Cancer
ACH-001184,Breast,Epithelial,Normal
ACH-001485,Lung,Hematopoietic,Normal
ACH-000608,Breast,Hematopoietic,Normal
ACH-001702,Prostate,Hematopoietic,Cancer
ACH-001563,Breast,Mesenchymal,Cancer
ACH-000529,Leukemia,Epithelial,Normal
ACH-001560,Leukemia,Hematopoietic,Cancer
ACH-001050,Leukemia,Epithelial,Cancer
ACH-001431,Leukemia,Mesenchymal,Normal
ACH-000958,Prostate,Mesenchymal,Normal
ACH-001392,Colon,Hematopoietic,Cancer
ACH-000772,Lung,Mesenchymal,Cancer
ACH-001163,Leukemia,Epithelial,Cancer
ACH-001664,Breast,Hematopoietic,Normal
ACH-001060,Leukemia,Epithelial,Normal
ACH-001316,Breast,Epithelial,Normal
ACH-001054,Breast,Mesenchymal,Normal
ACH-001638,Leukemia,Mesenchymal,Cancer
ACH-000318,Prostate,Mesenchymal,Normal
ACH-000820,Breast,Mesenchymal,Normal
ACH-000686,Breast,Mesenchymal,Normal
ACH-001497,Leukemia,Hematopoietic,Normal
ACH-001844,Breast,Epithelial,Normal
ACH-001735,Breast,Epithelial,Cancer
ACH-001300,Leukemia,Epithelial,Cancer
ACH-001147,Leukemia,Epithelial,Normal
ACH-000899,Lung,Mesenchymal,Cancer
ACH-001790,Prostate,Epithelial,Normal
ACH-000437,Prostate,Hematopoietic,Normal
ACH-001416,Breast,Hematopoietic,Cancer
ACH-001632,Prostate,Epithelial,Cancer
ACH-001653,Breast,Epithelial,Normal
ACH-001835,Lung,Hematopoietic,Normal
ACH-001396,Leukemia,Hematopoietic,Normal
ACH-001430,Leukemia,Mesenchymal,Cancer
ACH-001677,Leukemia,Hematopoietic,Normal
ACH-001232,Prostate,Mesenchymal,Normal
ACH-000716,Lung,Mesenchymal,Normal
ACH-001751,Prostate,Mesenchymal,Cancer
ACH-001555,Prostate,Mesenchymal,Normal
ACH-001818,Lung,Mesenchymal,Normal
ACH-000502,Lung,Epithelial,Cancer
ACH-001540,Lung,Hematopoietic,Normal
ACH-001607,Lung,Mesenchymal,Normal
ACH-000677,Leukemia,Hematopoietic,Cancer
ACH-001414,Colon,Hematopoietic,Normal
ACH-000469,Colon,Mesenchymal,Cancer
ACH-001031,Lung,Epithelial,Cancer
ACH-001057,Colon,Mesenchymal,Normal
ACH-001134,Colon,Epithelial,Normal
ACH-001391,Lung,Hematopoietic,Normal
ACH-001407,Colon,Epithelial,Normal
ACH-000991,Prostate,Epithelial,Cancer
ACH-001736,Breast,Epithelial,Normal
ACH-002011,Breast,Hematopoietic,Cancer
ACH-001041,Lung,Hematopoietic,Normal
ACH-001628,Leukemia,Epithelial,Normal
ACH-001433,Lung,Epithelial,Normal
ACH-001061,Leukemia,Mesenchymal,Cancer
ACH-001328,Breast,Epithelial,Normal
ACH-001344,Lung,Mesenchymal,Normal
ACH-001530,Prostate,Epithelial,Normal
ACH-001128,Colon,Mesenchymal,Normal
ACH-001335,Leukemia,Hematopoietic,Cancer
ACH-000567,Colon,Epithelial,Normal
ACH-001301,Colon,Epithelial,Cancer
ACH-001030,Lung,Epithelial,Cancer
ACH-001857,Colon,Epithelial,Cancer
ACH-001402,Prostate,Mesenchymal,Cancer
ACH-001459,Colon,Epithelial,Cancer
