Gene,Copy_Number,Methylation_Status,Survival_Months
BRCA1,1.8,Hypomethylated,84
TP53,0.3,Hypermethylated,12
EGFR,3.2,Hypomethylated,36
MYC,2.1,Hypomethylated,28
KRAS,1.1,Hypermethylated,18
PIK3CA,2.7,Hypomethylated,72
APC,0.8,Hypermethylated,24
PTEN,0.5,Hypermethylated,15
RB1,0.2,Hypermethylated,9
VHL,1.3,Hypomethylated,48
ATM,1.6,Hypomethylated,56
CDKN2A,0.1,Hypermethylated,6
MLH1,1.9,Hypomethylated,78
MSH2,2.0,Hypomethylated,82
PALB2,1.7,Hypomethylated,68
CHEK2,1.4,Hypomethylated,52
CDH1,0.9,Hypermethylated,32
STK11,1.2,Hypomethylated,44
SMAD4,1.5,Hypomethylated,60
DCC,0.7,Hypermethylated,20
