Gene,Mutation_Count,Pathway,Drug_Response
BRCA1,23,DNA_Repair,Sensitive
TP53,45,Cell_Cycle,Resistant
EGFR,12,Growth_Factor,Sensitive
MYC,8,Transcription,Moderate
KRAS,34,Signal_Transduction,Resistant
PIK3CA,19,PI3K_AKT,Sensitive
APC,27,Wnt_Signaling,Moderate
PTEN,15,PI3K_AKT,Sensitive
RB1,31,Cell_Cycle,Resistant
VHL,9,Hypoxia,Moderate
ATM,18,DNA_Repair,Sensitive
CDKN2A,42,Cell_Cycle,Resistant
MLH1,6,DNA_Repair,Sensitive
MSH2,11,DNA_Repair,Sensitive
PALB2,7,DNA_Repair,Sensitive
CHEK2,14,DNA_Damage,Moderate
CDH1,21,Cell_Adhesion,Moderate
STK11,16,Energy_Metabolism,Sensitive
SMAD4,13,TGF_Beta,Moderate
DCC,25,Cell_Adhesion,Resistant
